src,dst,kind,source,detail
DDP,IPV4,proto_ref,defining RFC references,derived
DDP,SCTP,proto_ref,defining RFC references,derived
DSR,ICMP,proto_ref,defining RFC references,derived
DSR,IPV4,proto_ref,defining RFC references,derived
EIGRP,IGMP,proto_ref,defining RFC references,derived
EIGRP,IPV4,proto_ref,defining RFC references,derived
EIGRP,OSPFIGP,proto_ref,defining RFC references,derived
ENCAP,ICMP,proto_ref,defining RFC references,derived
ENCAP,IPV4,proto_ref,defining RFC references,derived
ESP,AH,proto_ref,defining RFC references,derived
ESP,IPV4,proto_ref,defining RFC references,derived
ETHERIP,IPV4,proto_ref,defining RFC references,derived
ETHERNET,IPV6,proto_ref,defining RFC references,derived
GGP,ICMP,proto_ref,defining RFC references,derived
